V,x_axis,metric,run,size,seed,x,y,y_hat,residual_linear,residual_log
512,tokens_seen,best_val_mse,runs\sweep_gpu_census200k_60k_seeds\M_V512_B4x8_S60000_seed7,M,7,983040000.0,1.4633804253578186,1.556735132780716,-0.09335470742289731,-0.4020752356137691
512,tokens_seen,best_val_mse,runs\sweep_gpu_census200k_60k_seeds\M_V512_B4x8_S60000_seed8,M,8,983040000.0,1.4631489332437515,1.556735132780716,-0.09358619953696445,-0.4033032542316881
512,tokens_seen,best_val_mse,runs\sweep_gpu_census200k_60k_seeds\M_V512_B4x8_S60000_seed9,M,9,983040000.0,1.4583411769390107,1.556735132780716,-0.0983939558417053,-0.4291543698394382
512,tokens_seen,best_val_mse,runs\sweep_gpu_census200k_60k_seeds\S_V512_B4x8_S60000_seed7,S,7,983040000.0,1.4878523830831052,1.556735132780716,-0.06888274969761077,-0.2800885278921781
512,tokens_seen,best_val_mse,runs\sweep_gpu_census200k_60k_seeds\S_V512_B4x8_S60000_seed8,S,8,983040000.0,1.4725025202214719,1.556735132780716,-0.08423261255924408,-0.3548470916705704
512,tokens_seen,best_val_mse,runs\sweep_gpu_census200k_60k_seeds\S_V512_B4x8_S60000_seed9,S,9,983040000.0,1.4862976643323897,1.556735132780716,-0.07043746844832621,-0.28741112111848155
512,tokens_seen,best_val_mse,runs\sweep_gpu_census200k_60k_tinyL\TINY_V512_B4x8_S60000_seed7,TINY,7,983040000.0,1.6076449878096581,1.556735132780716,0.050909855028942186,0.16597600438278004
512,tokens_seen,best_val_mse,runs\sweep_gpu_census200k_60k_tinyL\TINY_V512_B4x8_S60000_seed8,TINY,8,983040000.0,1.6035126973748206,1.556735132780716,0.04677756459410465,0.1534848946923748
512,tokens_seen,best_val_mse,runs\sweep_gpu_census200k_60k_tinyL\TINY_V512_B4x8_S60000_seed9,TINY,9,983040000.0,1.5886685754418373,1.556735132780716,0.0319334426611213,0.10728146125830085
512,tokens_seen,best_val_mse,runs\sweep_gpu_census200k_60k_seeds\XS_V512_B4x8_S60000_seed7,XS,7,983040000.0,1.526984889882803,1.556735132780716,-0.02975024289791306,-0.11149611092066758
512,tokens_seen,best_val_mse,runs\sweep_gpu_census200k_60k_seeds\XS_V512_B4x8_S60000_seed8,XS,8,983040000.0,1.5069818099617958,1.556735132780716,-0.0497533228189202,-0.19412286912794352
512,tokens_seen,best_val_mse,runs\sweep_gpu_census200k_60k_seeds\XS_V512_B4x8_S60000_seed9,XS,9,983040000.0,1.509789845573902,1.556735132780716,-0.0469452872068139,-0.18210355770180775
512,tokens_seen,best_val_mse,runs\sweep_gpu_census200k_60k_xxs\XXS_V512_B4x8_S60000_seed7,XXS,7,983040000.0,2.095893610429764,1.556735132780716,0.5391584776490479,1.068857684392932
512,tokens_seen,best_val_mse,runs\sweep_gpu_census200k_60k_xxs\XXS_V512_B4x8_S60000_seed8,XXS,8,983040000.0,2.0723664076685906,1.556735132780716,0.5156312748878746,1.0397872423680892
512,tokens_seen,best_val_mse,runs\sweep_gpu_census200k_60k_xxs\XXS_V512_B4x8_S60000_seed9,XXS,9,983040000.0,2.1351019425392153,1.556735132780716,0.5783668097584993,1.1155015440393883
1024,tokens_seen,best_val_mse,runs\sweep_gpu_scaling_L\L_V1024_B4x8_S20000_seed7,L,7,655360000.0,1.2061511988639833,1.1591296198598084,0.04702157900417481,0.03976506686442591
1024,tokens_seen,best_val_mse,runs\sweep_gpu_census50k\M_V1024_B4x8_S30000_seed7,M,7,983040000.0,1.1016968525886535,1.136386983867439,-0.03469013127878551,-0.03100233261025058
1024,tokens_seen,best_val_mse,runs\sweep_gpu_long_M\M_V1024_B4x8_S40000_seed7,M,7,1310720000.0,1.1652829551696777,1.1205219586332447,0.04476099653643306,0.03916932626044621
1024,tokens_seen,best_val_mse,runs\sweep_smoke\S_V1024_B4x4_S30_seed1,S,1,491520.0,1.906025616645813,1.6475963973785004,0.25842921926731255,0.14570274815480638
1024,tokens_seen,best_val_mse,runs\sweep_gpu_census50k\S_V1024_B4x8_S30000_seed7,S,7,983040000.0,1.1285268701553344,1.136386983867439,-0.0078601137121046,-0.006940789604789763
1024,tokens_seen,best_val_mse,runs\sweep_gpu_long_S\S_V1024_B4x8_S60000_seed7,S,7,1966080000.0,1.1402008805274964,1.0985368220358944,0.04166405849160193,0.03722532530379877
1024,tokens_seen,best_val_mse,runs\sweep_gpu_scaling\S_V1024_B8x8_S400_seed7,S,7,26214400.0,1.5877491254655143,1.3565965462086733,0.23115257925684096,0.1573383452903087
